SimTime,SimAlt,SimVel,State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Apogee Est (m),State - Time to Apogee (s),State - Off-Vert Angle (deg),State - Time in Stage (s),HITL_Barometer - Pres (hPa),HITL_Barometer - Temp (C),HITL_Barometer - Alt ASL (m),HITL_GPS - Lat (deg),HITL_GPS - Lon (deg),HITL_GPS - Alt (m),HITL_GPS - vN (m/s),HITL_GPS - vE (m/s),HITL_GPS - vD (m/s),HITL_GPS - Fix Quality,HITL_GPS - Time of Day,HITL_Accelerometer - Acc X (m/s^2),HITL_Accelerometer - Acc Y (m/s^2),HITL_Accelerometer - Acc Z (m/s^2),HITL_Gyroscope - Gyro X (rad/s),HITL_Gyroscope - Gyro Y (rad/s),HITL_Gyroscope - Gyro Z (rad/s),HITL_Magnetometer - Mag X (uT),HITL_Magnetometer - Mag Y (uT),HITL_Magnetometer - Mag Z (uT)
0.06,0.0,0.0,0.040,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.000,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.1,0.0,0.0,0.080,0,4.091,-11.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.060,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.14,0.0,0.0,0.120,0,13.323,-36.119,0.000,0.317,-0.859,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.080,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.18,0.0,0.0,0.160,0,13.335,-36.153,0.000,0.317,-0.859,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.120,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.22,0.0,0.0,0.200,0,21.150,-57.339,0.000,0.788,-2.136,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.180,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.26,0.0,0.0,0.240,0,28.569,-77.455,0.000,1.492,-4.045,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.200,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.3,0.0,0.0,0.280,0,28.629,-77.617,0.000,1.492,-4.045,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.240,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.34,0.0,0.0,0.320,0,33.461,-90.715,0.000,2.112,-5.725,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.300,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.38,0.0,0.0,0.360,0,37.362,-101.293,0.000,2.750,-7.457,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.320,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.42,0.0,0.0,0.400,0,37.472,-101.591,0.000,2.750,-7.457,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.360,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.46,0.0,0.0,0.440,0,39.834,-107.993,0.000,3.229,-8.753,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.420,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.5,0.0,0.0,0.480,0,41.678,-112.994,0.000,3.649,-9.894,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.440,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.54,0.0,0.0,0.520,0,41.824,-113.390,0.000,3.649,-9.894,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.480,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
0.58,0.0,0.0,0.560,0,42.887,-116.272,0.000,3.936,-10.670,0.000,0.000,0.000,0.000,0.000,0.000,180.000,0.540,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000
