Sim_Time,Sim_Alt,State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Off-Vert Angle (deg),State - Time in Stage (s),HITL_Accelerometer - Acc X (m/s^2),HITL_Accelerometer - Acc Y (m/s^2),HITL_Accelerometer - Acc Z (m/s^2),HITL_Gyroscope - Gyro X (rad/s),HITL_Gyroscope - Gyro Y (rad/s),HITL_Gyroscope - Gyro Z (rad/s),HITL_Barometer - Pres (hPa),HITL_Barometer - Temp (C),HITL_Barometer - Alt ASL (m),HITL_GPS - Lat (deg),HITL_GPS - Lon (deg),HITL_GPS - Alt (m),HITL_GPS - vN (m/s),HITL_GPS - vE (m/s),HITL_GPS - vD (m/s),HITL_GPS - Fix Quality,HITL_GPS - Time of Day,HITL_Magnetometer - Mag X (uT),HITL_Magnetometer - Mag Y (uT),HITL_Magnetometer - Mag Z (uT)
0.0,-8.401,0.000,0,0.000,0.000,-8.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.898,0.115,0.338,0.000,0.000,0.000,1014.260,32.100,-8.401,45.0000000,-122.0000000,-8.400,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.271,-8.484,0.271,0,-0.000,-0.000,-0.581,-0.000,-0.000,27.021,-0.000,-0.000,0.053,2.359,0.271,-9.855,0.294,0.280,0.000,0.000,0.000,1014.270,32.100,-8.484,45.0000000,-122.0000000,-8.480,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.541,-8.484,0.541,0,-0.000,-0.000,1.166,-0.000,-0.000,14.884,-0.000,-0.000,0.031,3.168,0.541,-9.826,0.381,0.388,0.000,0.000,0.000,1014.270,32.100,-8.484,45.0000000,-122.0000000,-8.480,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.813,-8.484,0.813,0,-0.000,-0.000,1.535,0.000,0.000,9.117,0.000,0.000,0.124,2.161,0.813,-9.927,0.316,0.201,0.000,0.000,0.000,1014.270,32.100,-8.484,45.0000000,-122.0000000,-8.480,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
1.088,-8.401,1.088,0,-0.000,0.000,1.618,-0.000,0.000,6.181,-0.000,-0.000,0.128,1.684,1.088,-9.934,0.180,0.230,0.000,0.000,0.000,1014.260,32.090,-8.401,45.0000000,-122.0000000,-8.400,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
1.356,-8.567,1.356,0,0.000,0.000,1.481,0.000,0.000,4.401,0.000,0.000,0.105,1.472,1.356,-9.912,0.165,0.194,0.000,0.000,0.000,1014.280,32.100,-8.567,45.0000000,-122.0000000,-8.570,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
1.63,-8.151,1.630,0,0.000,0.000,1.555,0.000,0.000,3.448,0.000,0.000,0.049,1.712,1.630,-9.855,0.165,0.244,0.000,0.000,0.000,1014.230,32.100,-8.151,45.0000000,-122.0000000,-8.150,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
1.906,-8.567,1.906,0,0.000,0.000,1.388,0.000,0.000,2.637,-0.000,-0.000,0.068,1.178,1.906,-9.876,0.108,0.172,0.000,0.000,0.000,1014.280,32.100,-8.567,45.0000000,-122.0000000,-8.570,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
2.174,-8.401,2.174,0,0.000,0.000,1.304,0.000,0.000,2.146,0.000,0.000,0.119,2.393,2.174,-9.920,0.330,0.251,0.000,0.000,0.000,1014.260,32.110,-8.401,45.0000000,-122.0000000,-8.400,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
2.447,-8.567,2.447,0,0.000,0.000,1.177,0.000,0.000,1.736,-0.000,-0.000,0.050,1.819,2.447,-9.855,0.251,0.187,0.000,0.000,0.000,1014.280,32.100,-8.567,45.0000000,-122.0000000,-8.570,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
